"species","site","presence_absence","abundance"
"Acer_campestre","NZ90",1,16
"Acer_campestre","O14",1,4
"Acer_campestre","R87",1,1
"Acer_campestre","S50",1,3
"Acer_campestre","S51",1,2
"Acer_campestre","SC37",1,2
"Acer_campestre","SC39",1,2
"Acer_campestre","SD18",1,4
"Acer_campestre","SD20",1,4
"Acer_campestre","SD27",1,9
"Acer_campestre","SD28",1,8
"Acer_campestre","SD29",1,5
"Acer_campestre","SD34",1,9
"Acer_campestre","SD37",1,6
"Acer_campestre","SD38",1,8
"Acer_campestre","SD39",1,4
"Acer_campestre","SD43",1,11
"Acer_campestre","SD45",1,10
"Acer_campestre","SD47",1,8
"Acer_campestre","SD48",1,8
"Acer_campestre","SD49",1,6
"Acer_campestre","SD51",1,16
"Acer_campestre","SD52",1,23
"Acer_campestre","SD56",1,7
"Acer_campestre","SD57",1,5
"Acer_campestre","SD58",1,7
"Acer_campestre","SD59",1,9
"Acer_campestre","SD61",1,6
"Acer_campestre","SD63",1,17
"Acer_campestre","SD64",1,11
"Acer_campestre","SD72",1,20
"Acer_campestre","SD73",1,16
"Acer_campestre","SD75",1,6
"Acer_campestre","SD76",1,5
"Acer_campestre","SD77",1,3
"Acer_campestre","SD80",1,22
"Acer_campestre","SD82",1,14
"Acer_campestre","SD91",1,12
"Acer_campestre","SD92",1,5
"Acer_campestre","SD98",1,1
"Acer_campestre","SE01",1,8
"Acer_campestre","SE02",1,12
"Acer_campestre","SE03",1,2
"Acer_campestre","SE04",1,8
"Acer_campestre","SE09",1,2
"Acer_campestre","SE10",1,5
"Acer_campestre","SE11",1,16
"Acer_campestre","SE12",1,21
"Acer_campestre","SE13",1,16
"Acer_campestre","SE14",1,14
"Acer_campestre","SE20",1,21
"Acer_campestre","SE21",1,23
"Acer_campestre","SE22",1,16
"Acer_campestre","SE23",1,22
"Acer_campestre","SE24",1,22
"Acer_campestre","SE27",1,15
"Acer_campestre","SE30",1,25
"Acer_campestre","SE31",1,21
"Acer_campestre","SE32",1,22
"Acer_campestre","SE33",1,20
"Acer_campestre","SE34",1,23
"Acer_campestre","SE37",1,15
"Acer_campestre","SE40",1,25
"Acer_campestre","SE41",1,22
"Acer_campestre","SE42",1,23
"Acer_campestre","SE43",1,24
"Acer_campestre","SE44",1,24
"Acer_campestre","SE48",1,17
"Acer_campestre","SE49",1,13
"Acer_campestre","SE50",1,23
"Acer_campestre","SE51",1,23
"Acer_campestre","SE52",1,18
"Acer_campestre","SE57",1,23
"Acer_campestre","SE58",1,22
"Acer_campestre","SE59",1,6
"Acer_campestre","SE60",1,21
"Acer_campestre","SE61",1,23
"Acer_campestre","SE62",1,16
"Acer_campestre","SE63",1,11
"Acer_campestre","SE64",1,10
"Acer_campestre","SE65",1,11
"Acer_campestre","SE67",1,24
"Acer_campestre","SE68",1,22
"Acer_campestre","SE69",1,3
"Acer_campestre","SE70",1,16
"Acer_campestre","SE71",1,10
"Acer_campestre","SE72",1,8
"Acer_campestre","SE73",1,9
"Acer_campestre","SE74",1,11
"Acer_campestre","SE75",1,13
"Acer_campestre","SE76",1,21
"Acer_campestre","SE78",1,17
"Acer_campestre","SE79",1,7
"Acer_campestre","SE80",1,21
"Acer_campestre","SE81",1,22
"Acer_campestre","SE82",1,10
"Acer_campestre","SE83",1,10
"Acer_campestre","SE84",1,11
"Acer_campestre","SE85",1,7
"Acer_campestre","SE86",1,9
"Acer_campestre","SE87",1,11
"Acer_campestre","SE88",1,17
"Acer_campestre","SE89",1,6
"Acer_campestre","SE90",1,22
"Acer_campestre","SE91",1,19
"Acer_campestre","SE92",1,15
"Acer_campestre","SE93",1,17
"Acer_campestre","SE94",1,10
"Acer_campestre","SE95",1,5
"Acer_campestre","SE96",1,6
"Acer_campestre","SE98",1,22
"Acer_campestre","SE99",1,9
"Acer_campestre","SH37",1,4
"Acer_campestre","SH46",1,5
"Acer_campestre","SH49",1,2
"Acer_campestre","SH56",1,8
"Acer_campestre","SH61",1,1
"Acer_campestre","SH70",1,6
"Acer_campestre","SH80",1,6
"Acer_campestre","SH87",1,7
"Acer_campestre","SH90",1,1
"Acer_campestre","SH97",1,9
"Acer_campestre","SJ00",1,11
"Acer_campestre","SJ01",1,13
"Acer_campestre","SJ02",1,10
"Acer_campestre","SJ04",1,4
"Acer_campestre","SJ06",1,7
"Acer_campestre","SJ07",1,17
"Acer_campestre","SJ10",1,25
"Acer_campestre","SJ11",1,25
"Acer_campestre","SJ12",1,23
"Acer_campestre","SJ13",1,11
"Acer_campestre","SJ14",1,15
"Acer_campestre","SJ15",1,21
"Acer_campestre","SJ16",1,14
"Acer_campestre","SJ17",1,14
"Acer_campestre","SJ18",1,2
"Acer_campestre","SJ20",1,25
"Acer_campestre","SJ21",1,24
"Acer_campestre","SJ22",1,25
"Acer_campestre","SJ23",1,23
"Acer_campestre","SJ24",1,20
"Acer_campestre","SJ25",1,10
"Acer_campestre","SJ26",1,15
"Acer_campestre","SJ27",1,10
"Acer_campestre","SJ30",1,24
"Acer_campestre","SJ31",1,22
"Acer_campestre","SJ33",1,23
"Acer_campestre","SJ34",1,24
"Acer_campestre","SJ35",1,23
"Acer_campestre","SJ36",1,15
"Acer_campestre","SJ39",1,18
"Acer_campestre","SJ40",1,23
"Acer_campestre","SJ42",1,23
"Acer_campestre","SJ43",1,20
"Acer_campestre","SJ44",1,25
"Acer_campestre","SJ45",1,17
"Acer_campestre","SJ48",1,22
"Acer_campestre","SJ49",1,20
"Acer_campestre","SJ50",1,24
"Acer_campestre","SJ59",1,24
"Acer_campestre","SJ60",1,23
"Acer_campestre","SJ61",1,21
"Acer_campestre","SJ69",1,20
"Acer_campestre","SJ72",1,17
"Acer_campestre","SJ80",1,24
"Acer_campestre","SJ81",1,25
"Acer_campestre","SJ84",1,25
"Acer_campestre","SJ90",1,24
"Acer_campestre","SJ98",1,10
"Acer_campestre","SK02",1,25
"Acer_campestre","SK04",1,18
"Acer_campestre","SK08",1,11
"Acer_campestre","SK12",1,25
"Acer_campestre","SK13",1,25
"Acer_campestre","SK14",1,24
"Acer_campestre","SK15",1,21
"Acer_campestre","SK16",1,18
"Acer_campestre","SK17",1,21
"Acer_campestre","SK21",1,25
"Acer_campestre","SK22",1,22
"Acer_campestre","SK23",1,25
"Acer_campestre","SK24",1,23
"Acer_campestre","SK25",1,22
"Acer_campestre","SK26",1,20
"Acer_campestre","SK27",1,13
"Acer_campestre","SK28",1,10
"Acer_campestre","SK29",1,10
"Acer_campestre","SK32",1,25
"Acer_campestre","SK33",1,24
"Acer_campestre","SK34",1,25
"Acer_campestre","SK35",1,23
"Acer_campestre","SK36",1,21
"Acer_campestre","SK37",1,25
"Acer_campestre","SK38",1,25
"Acer_campestre","SK39",1,21
"Acer_campestre","SK42",1,25
"Acer_campestre","SK43",1,25
"Acer_campestre","SK44",1,25
"Acer_campestre","SK45",1,25
"Acer_campestre","SK46",1,25
"Acer_campestre","SK47",1,25
"Acer_campestre","SK48",1,25
"Acer_campestre","SK49",1,22
"Acer_campestre","SK56",1,24
"Acer_campestre","SK57",1,21
"Acer_campestre","SK58",1,25
"Acer_campestre","SK59",1,25
"Acer_campestre","SK64",1,25
"Acer_campestre","SK69",1,25
"Acer_campestre","SK76",1,25
"Acer_campestre","SK77",1,25
"Acer_campestre","SK78",1,25
"Acer_campestre","SK79",1,23
"Acer_campestre","SK82",1,24
"Acer_campestre","SK83",1,23
"Acer_campestre","SK84",1,24
"Acer_campestre","SK85",1,20
"Acer_campestre","SK86",1,24
"Acer_campestre","SK87",1,24
"Acer_campestre","SK88",1,25
"Acer_campestre","SK90",1,25
"Acer_campestre","SK91",1,25
"Acer_campestre","SK92",1,24
"Acer_campestre","SK93",1,25
"Acer_campestre","SK94",1,23
"Acer_campestre","SK96",1,18
"Acer_campestre","SK97",1,23
"Acer_campestre","SK98",1,24
"Acer_campestre","SK99",1,25
"Acer_campestre","SM81",1,1
"Acer_campestre","SM90",1,2
"Acer_campestre","SN01",1,4
"Acer_campestre","SN41",1,7
"Acer_campestre","SN50",1,9
"Acer_campestre","SN52",1,3
"Acer_campestre","SN60",1,2
"Acer_campestre","SN61",1,3
"Acer_campestre","SN68",1,5
"Acer_campestre","SN72",1,4
"Acer_campestre","SN73",1,4
"Acer_campestre","SN79",1,2
"Acer_campestre","SN80",1,9
"Acer_campestre","SN81",1,5
"Acer_campestre","SN89",1,3
"Acer_campestre","SN90",1,7
"Acer_campestre","SN92",1,12
"Acer_campestre","SN93",1,9
"Acer_campestre","SN94",1,5
"Acer_campestre","SN97",1,3
"Acer_campestre","SN98",1,15
"Acer_campestre","SN99",1,10
"Acer_campestre","SO00",1,11
"Acer_campestre","SO01",1,10
"Acer_campestre","SO02",1,18
"Acer_campestre","SO03",1,14
"Acer_campestre","SO04",1,13
"Acer_campestre","SO05",1,19
"Acer_campestre","SO06",1,5
"Acer_campestre","SO08",1,12
"Acer_campestre","SO09",1,22
"Acer_campestre","SO10",1,15
"Acer_campestre","SO11",1,13
"Acer_campestre","SO12",1,21
"Acer_campestre","SO13",1,21
"Acer_campestre","SO14",1,15
"Acer_campestre","SO15",1,9
"Acer_campestre","SO16",1,4
"Acer_campestre","SO17",1,1
"Acer_campestre","SO18",1,9
"Acer_campestre","SO19",1,25
"Acer_campestre","SO20",1,19
"Acer_campestre","SO21",1,23
"Acer_campestre","SO22",1,17
"Acer_campestre","SO23",1,15
"Acer_campestre","SO24",1,25
"Acer_campestre","SO25",1,20
"Acer_campestre","SO26",1,16
"Acer_campestre","SO27",1,12
"Acer_campestre","SO28",1,13
"Acer_campestre","SO29",1,25
"Acer_campestre","SO30",1,25
"Acer_campestre","SO31",1,25
"Acer_campestre","SO32",1,25
"Acer_campestre","SO33",1,25
"Acer_campestre","SO34",1,25
"Acer_campestre","SO35",1,25
"Acer_campestre","SO36",1,24
"Acer_campestre","SO37",1,24
"Acer_campestre","SO38",1,25
"Acer_campestre","SO39",1,21
"Acer_campestre","SO40",1,25
"Acer_campestre","SO41",1,25
"Acer_campestre","SO42",1,25
"Acer_campestre","SO43",1,25
"Acer_campestre","SO44",1,25
"Acer_campestre","SO45",1,25
"Acer_campestre","SO46",1,25
"Acer_campestre","SO47",1,24
"Acer_campestre","SO48",1,23
"Acer_campestre","SO49",1,17
"Acer_campestre","SO50",1,25
"Acer_campestre","SO51",1,25
"Acer_campestre","SO52",1,25
"Acer_campestre","SO53",1,25
"Acer_campestre","SO55",1,25
"Acer_campestre","SO56",1,25
"Acer_campestre","SO57",1,25
"Acer_campestre","SO58",1,24
"Acer_campestre","SO59",1,23
"Acer_campestre","SO60",1,23
"Acer_campestre","SO61",1,22
"Acer_campestre","SO62",1,25
"Acer_campestre","SO63",1,25
"Acer_campestre","SO65",1,25
"Acer_campestre","SO66",1,25
"Acer_campestre","SO67",1,23
"Acer_campestre","SO68",1,20
"Acer_campestre","SO70",1,24
"Acer_campestre","SO71",1,25
"Acer_campestre","SO72",1,25
"Acer_campestre","SO73",1,25
"Acer_campestre","SO74",1,25
"Acer_campestre","SO75",1,25
"Acer_campestre","SO76",1,25
"Acer_campestre","SO77",1,25
"Acer_campestre","SO78",1,24
"Acer_campestre","SO79",1,24
"Acer_campestre","SO80",1,25
"Acer_campestre","SO81",1,25
"Acer_campestre","SO82",1,25
"Acer_campestre","SO83",1,25
"Acer_campestre","SO84",1,25
"Acer_campestre","SO85",1,25
"Acer_campestre","SO86",1,25
"Acer_campestre","SO87",1,24
"Acer_campestre","SO88",1,24
"Acer_campestre","SO89",1,25
"Acer_campestre","SO90",1,25
"Acer_campestre","SO91",1,25
"Acer_campestre","SO92",1,25
"Acer_campestre","SO93",1,25
"Acer_campestre","SO94",1,25
"Acer_campestre","SO95",1,25
"Acer_campestre","SO96",1,25
"Acer_campestre","SO97",1,25
"Acer_campestre","SO98",1,25
"Acer_campestre","SO99",1,25
"Acer_campestre","SP00",1,24
"Acer_campestre","SP01",1,25
"Acer_campestre","SP02",1,25
"Acer_campestre","SP03",1,25
"Acer_campestre","SP04",1,25
"Acer_campestre","SP05",1,25
"Acer_campestre","SP06",1,25
"Acer_campestre","SP07",1,25
"Acer_campestre","SP09",1,21
"Acer_campestre","SP10",1,25
"Acer_campestre","SP11",1,23
"Acer_campestre","SP12",1,25
"Acer_campestre","SP13",1,24
"Acer_campestre","SP14",1,25
"Acer_campestre","SP15",1,25
"Acer_campestre","SP20",1,25
"Acer_campestre","SP21",1,24
"Acer_campestre","SP22",1,25
"Acer_campestre","SP23",1,25
"Acer_campestre","SP24",1,25
"Acer_campestre","SP25",1,25
"Acer_campestre","SP30",1,25
"Acer_campestre","SP31",1,25
"Acer_campestre","SP32",1,25
"Acer_campestre","SP33",1,25
"Acer_campestre","SP34",1,25
"Acer_campestre","SP40",1,25
"Acer_campestre","SP41",1,25
"Acer_campestre","SP42",1,25
"Acer_campestre","SP43",1,25
"Acer_campestre","SP44",1,25
"Acer_campestre","SP45",1,25
"Acer_campestre","SP50",1,25
"Acer_campestre","SP51",1,25
"Acer_campestre","SP52",1,25
"Acer_campestre","SP53",1,24
"Acer_campestre","SP54",1,20
"Acer_campestre","SP55",1,24
"Acer_campestre","SP56",1,24
"Acer_campestre","SP60",1,25
"Acer_campestre","SP61",1,25
"Acer_campestre","SP62",1,25
"Acer_campestre","SP63",1,25
"Acer_campestre","SP64",1,23
"Acer_campestre","SP66",1,25
"Acer_campestre","SP67",1,25
"Acer_campestre","SP70",1,25
"Acer_campestre","SP71",1,25
"Acer_campestre","SP72",1,25
"Acer_campestre","SP73",1,25
"Acer_campestre","SP74",1,25
"Acer_campestre","SP75",1,25
"Acer_campestre","SP77",1,23
"Acer_campestre","SP80",1,25
"Acer_campestre","SP81",1,25
"Acer_campestre","SP82",1,25
"Acer_campestre","SP83",1,25
"Acer_campestre","SP84",1,25
"Acer_campestre","SP85",1,25
"Acer_campestre","SP86",1,24
"Acer_campestre","SP87",1,21
"Acer_campestre","SP88",1,23
"Acer_campestre","SP90",1,25
"Acer_campestre","SP91",1,25
"Acer_campestre","SP92",1,25
"Acer_campestre","SP93",1,25
"Acer_campestre","SP94",1,25
"Acer_campestre","SP95",1,25
"Acer_campestre","SP96",1,24
"Acer_campestre","SP97",1,23
"Acer_campestre","SP98",1,25
"Acer_campestre","SP99",1,24
"Acer_campestre","SS10",1,1
"Acer_campestre","SS20",1,13
"Acer_campestre","SS21",1,5
"Acer_campestre","SS22",1,5
"Acer_campestre","SS30",1,5
"Acer_campestre","SS31",1,7
"Acer_campestre","SS32",1,6
"Acer_campestre","SS40",1,6
"Acer_campestre","SS41",1,10
"Acer_campestre","SS42",1,18
"Acer_campestre","SS43",1,7
"Acer_campestre","SS44",1,3
"Acer_campestre","SS48",1,2
"Acer_campestre","SS49",1,4
"Acer_campestre","SS50",1,7
"Acer_campestre","SS51",1,15
"Acer_campestre","SS52",1,22
"Acer_campestre","SS53",1,21
"Acer_campestre","SS54",1,12
"Acer_campestre","SS58",1,8
"Acer_campestre","SS59",1,9
"Acer_campestre","SS60",1,13
"Acer_campestre","SS61",1,18
"Acer_campestre","SS62",1,25
"Acer_campestre","SS63",1,12
"Acer_campestre","SS64",1,9
"Acer_campestre","SS69",1,14
"Acer_campestre","SS70",1,14
"Acer_campestre","SS71",1,16
"Acer_campestre","SS72",1,17
"Acer_campestre","SS73",1,5
"Acer_campestre","SS74",1,3
"Acer_campestre","SS80",1,22
"Acer_campestre","SS81",1,13
"Acer_campestre","SS82",1,15
"Acer_campestre","SS83",1,8
"Acer_campestre","SS84",1,8
"Acer_campestre","SS87",1,5
"Acer_campestre","SS88",1,9
"Acer_campestre","SS90",1,25
"Acer_campestre","SS91",1,25
"Acer_campestre","SS92",1,23
"Acer_campestre","SS93",1,17
"Acer_campestre","SS94",1,21
"Acer_campestre","SS96",1,8
"Acer_campestre","ST00",1,25
"Acer_campestre","ST01",1,25
"Acer_campestre","ST02",1,25
"Acer_campestre","ST03",1,23
"Acer_campestre","ST04",1,11
"Acer_campestre","ST10",1,22
"Acer_campestre","ST11",1,25
"Acer_campestre","ST18",1,19
"Acer_campestre","ST19",1,18
"Acer_campestre","ST20",1,25
"Acer_campestre","ST21",1,24
"Acer_campestre","ST22",1,25
"Acer_campestre","ST24",1,15
"Acer_campestre","ST27",1,7
"Acer_campestre","ST28",1,25
"Acer_campestre","ST29",1,22
"Acer_campestre","ST30",1,25
"Acer_campestre","ST35",1,25
"Acer_campestre","ST38",1,19
"Acer_campestre","ST39",1,25
"Acer_campestre","ST40",1,25
"Acer_campestre","ST45",1,24
"Acer_campestre","ST46",1,25
"Acer_campestre","ST48",1,15
"Acer_campestre","ST49",1,25
"Acer_campestre","ST50",1,25
"Acer_campestre","ST57",1,24
"Acer_campestre","ST58",1,19
"Acer_campestre","ST59",1,24
"Acer_campestre","ST60",1,25
"Acer_campestre","ST66",1,25
"Acer_campestre","ST67",1,25
"Acer_campestre","ST68",1,25
"Acer_campestre","ST69",1,25
"Acer_campestre","ST70",1,25
"Acer_campestre","ST71",1,25
"Acer_campestre","ST73",1,24
"Acer_campestre","ST74",1,25
"Acer_campestre","ST75",1,25
"Acer_campestre","ST76",1,25
"Acer_campestre","ST77",1,25
"Acer_campestre","ST78",1,25
"Acer_campestre","ST79",1,25
"Acer_campestre","ST80",1,25
"Acer_campestre","ST82",1,25
"Acer_campestre","ST83",1,24
"Acer_campestre","ST84",1,22
"Acer_campestre","ST85",1,25
"Acer_campestre","ST86",1,25
"Acer_campestre","ST87",1,25
"Acer_campestre","ST88",1,25
"Acer_campestre","ST89",1,25
"Acer_campestre","ST90",1,25
"Acer_campestre","ST91",1,25
"Acer_campestre","ST92",1,25
"Acer_campestre","ST93",1,23
"Acer_campestre","ST94",1,22
"Acer_campestre","ST95",1,25
"Acer_campestre","ST96",1,25
"Acer_campestre","ST97",1,25
"Acer_campestre","ST98",1,25
"Acer_campestre","ST99",1,25
"Acer_campestre","SU01",1,25
"Acer_campestre","SU02",1,23
"Acer_campestre","SU03",1,25
"Acer_campestre","SU04",1,14
"Acer_campestre","SU05",1,15
"Acer_campestre","SU06",1,21
"Acer_campestre","SU07",1,25
"Acer_campestre","SU08",1,25
"Acer_campestre","SU09",1,25
"Acer_campestre","SU11",1,23
"Acer_campestre","SU12",1,25
"Acer_campestre","SU13",1,22
"Acer_campestre","SU14",1,18
"Acer_campestre","SU15",1,23
"Acer_campestre","SU16",1,25
"Acer_campestre","SU17",1,25
"Acer_campestre","SU18",1,24
"Acer_campestre","SU19",1,25
"Acer_campestre","SU20",1,19
"Acer_campestre","SU21",1,18
"Acer_campestre","SU22",1,25
"Acer_campestre","SU23",1,24
"Acer_campestre","SU24",1,25
"Acer_campestre","SU25",1,24
"Acer_campestre","SU26",1,25
"Acer_campestre","SU27",1,25
"Acer_campestre","SU28",1,23
"Acer_campestre","SU29",1,24
"Acer_campestre","SU30",1,21
"Acer_campestre","SU31",1,25
"Acer_campestre","SU32",1,25
"Acer_campestre","SU35",1,25
"Acer_campestre","SU36",1,18
"Acer_campestre","SU37",1,23
"Acer_campestre","SU42",1,25
"Acer_campestre","SU45",1,25
"Acer_campestre","SU46",1,23
"Acer_campestre","SU49",1,18
"Acer_campestre","SU50",1,21
"Acer_campestre","SU51",1,25
"Acer_campestre","SU52",1,25
"Acer_campestre","SU53",1,25
"Acer_campestre","SU55",1,25
"Acer_campestre","SU56",1,22
"Acer_campestre","SU57",1,25
"Acer_campestre","SU58",1,23
"Acer_campestre","SU59",1,22
"Acer_campestre","SU60",1,20
"Acer_campestre","SU61",1,25
"Acer_campestre","SU62",1,25
"Acer_campestre","SU64",1,25
"Acer_campestre","SU65",1,25
"Acer_campestre","SU66",1,22
"Acer_campestre","SU67",1,23
"Acer_campestre","SU68",1,25
"Acer_campestre","SU69",1,25
"Acer_campestre","SU71",1,25
"Acer_campestre","SU72",1,25
"Acer_campestre","SU73",1,24
"Acer_campestre","SU74",1,25
"Acer_campestre","SU75",1,24
"Acer_campestre","SU77",1,25
"Acer_campestre","SU78",1,25
"Acer_campestre","SU79",1,25
"Acer_campestre","SU83",1,22
"Acer_campestre","SU84",1,19
"Acer_campestre","SU85",1,22
"Acer_campestre","SU88",1,25
"Acer_campestre","SU89",1,25
"Acer_campestre","SU93",1,23
"Acer_campestre","SU94",1,23
"Acer_campestre","SU96",1,14
"Acer_campestre","SU97",1,24
"Acer_campestre","SU98",1,25
"Acer_campestre","SU99",1,25
"Acer_campestre","SW71",1,8
"Acer_campestre","SW72",1,15
"Acer_campestre","SW73",1,12
"Acer_campestre","SW74",1,13
"Acer_campestre","SW94",1,12
"Acer_campestre","SW96",1,8
"Acer_campestre","SX19",1,5
"Acer_campestre","SX35",1,7
"Acer_campestre","SX36",1,8
"Acer_campestre","SX38",1,9
"Acer_campestre","SX39",1,10
"Acer_campestre","SX45",1,14
"Acer_campestre","SX46",1,17
"Acer_campestre","SX47",1,6
"Acer_campestre","SX48",1,5
"Acer_campestre","SX49",1,5
"Acer_campestre","SX54",1,4
"Acer_campestre","SX55",1,19
"Acer_campestre","SX56",1,7
"Acer_campestre","SX58",1,3
"Acer_campestre","SX64",1,7
"Acer_campestre","SX65",1,16
"Acer_campestre","SX67",1,6
"Acer_campestre","SX68",1,2
"Acer_campestre","SX69",1,14
"Acer_campestre","SX73",1,5
"Acer_campestre","SX74",1,22
"Acer_campestre","SX75",1,21
"Acer_campestre","SX76",1,21
"Acer_campestre","SX77",1,10
"Acer_campestre","SX78",1,9
"Acer_campestre","SX79",1,8
"Acer_campestre","SX83",1,2
"Acer_campestre","SX84",1,9
"Acer_campestre","SX85",1,14
"Acer_campestre","SX86",1,25
"Acer_campestre","SX87",1,25
"Acer_campestre","SX88",1,24
"Acer_campestre","SX89",1,24
"Acer_campestre","SX95",1,7
"Acer_campestre","SX96",1,9
"Acer_campestre","SX97",1,16
"Acer_campestre","SX98",1,21
"Acer_campestre","SX99",1,24
"Acer_campestre","SY08",1,19
"Acer_campestre","SY09",1,23
"Acer_campestre","SY18",1,9
"Acer_campestre","SY19",1,23
"Acer_campestre","SY28",1,5
"Acer_campestre","SY29",1,25
"Acer_campestre","SY39",1,22
"Acer_campestre","SY58",1,14
"Acer_campestre","SY67",1,7
"Acer_campestre","SY69",1,25
"Acer_campestre","SY78",1,19
"Acer_campestre","SY97",1,8
"Acer_campestre","SZ38",1,9
"Acer_campestre","SZ39",1,19
"Acer_campestre","SZ48",1,23
"Acer_campestre","SZ49",1,18
"Acer_campestre","SZ57",1,9
"Acer_campestre","SZ59",1,15
"Acer_campestre","TA00",1,23
"Acer_campestre","TA01",1,25
"Acer_campestre","TA02",1,21
"Acer_campestre","TA03",1,23
"Acer_campestre","TA04",1,8
"Acer_campestre","TA05",1,11
"Acer_campestre","TA06",1,7
"Acer_campestre","TA07",1,8
"Acer_campestre","TA08",1,17
"Acer_campestre","TA09",1,6
"Acer_campestre","TA10",1,19
"Acer_campestre","TA11",1,21
"Acer_campestre","TA13",1,20
"Acer_campestre","TA14",1,17
"Acer_campestre","TA16",1,6
"Acer_campestre","TA17",1,5
"Acer_campestre","TA20",1,24
"Acer_campestre","TA22",1,7
"Acer_campestre","TA23",1,14
"Acer_campestre","TA24",1,3
"Acer_campestre","TA26",1,2
"Acer_campestre","TA30",1,12
"Acer_campestre","TF00",1,25
"Acer_campestre","TF01",1,25
"Acer_campestre","TF02",1,25
"Acer_campestre","TF03",1,25
"Acer_campestre","TF04",1,24
"Acer_campestre","TF05",1,21
"Acer_campestre","TF06",1,21
"Acer_campestre","TF07",1,24
